,0,1
393,CTDD_solventaccess.1.residue100,811
394,CTDD_solventaccess.2.residue0,821
395,CTDD_solventaccess.2.residue25,1026
396,CTDD_solventaccess.2.residue50,1086
397,CTDD_solventaccess.2.residue75,586
398,CTDD_solventaccess.2.residue100,94
399,CTDD_solventaccess.3.residue0,330
400,CTDD_solventaccess.3.residue25,546
401,CTDD_solventaccess.3.residue50,632
402,CTDD_solventaccess.3.residue75,586
403,CTDD_solventaccess.3.residue100,734
404,CTDT_hydrophobicity_PRAM900101.Tr1221,598
405,CTDT_hydrophobicity_PRAM900101.Tr1331,584
406,CTDT_hydrophobicity_PRAM900101.Tr2332,533
407,CTDT_hydrophobicity_ARGP820101.Tr1221,196
408,CTDT_hydrophobicity_ARGP820101.Tr1331,576
409,CTDT_hydrophobicity_ARGP820101.Tr2332,235
410,CTDT_hydrophobicity_ZIMJ680101.Tr1221,62
411,CTDT_hydrophobicity_ZIMJ680101.Tr1331,194
412,CTDT_hydrophobicity_ZIMJ680101.Tr2332,557
413,CTDT_hydrophobicity_PONP930101.Tr1221,485
414,CTDT_hydrophobicity_PONP930101.Tr1331,357
415,CTDT_hydrophobicity_PONP930101.Tr2332,79
416,CTDT_hydrophobicity_CASG920101.Tr1221,40
417,CTDT_hydrophobicity_CASG920101.Tr1331,49
418,CTDT_hydrophobicity_CASG920101.Tr2332,863
419,CTDT_hydrophobicity_ENGD860101.Tr1221,803
420,CTDT_hydrophobicity_ENGD860101.Tr1331,133
421,CTDT_hydrophobicity_ENGD860101.Tr2332,305
422,CTDT_hydrophobicity_FASG890101.Tr1221,152
423,CTDT_hydrophobicity_FASG890101.Tr1331,558
424,CTDT_hydrophobicity_FASG890101.Tr2332,420
425,CTDT_normwaalsvolume.Tr1221,230
426,CTDT_normwaalsvolume.Tr1331,259
427,CTDT_normwaalsvolume.Tr2332,105
428,CTDT_polarity.Tr1221,513
429,CTDT_polarity.Tr1331,254
430,CTDT_polarity.Tr2332,764
431,CTDT_polarizability.Tr1221,543
432,CTDT_polarizability.Tr1331,728
433,CTDT_polarizability.Tr2332,188
434,CTDT_charge.Tr1221,388
435,CTDT_charge.Tr1331,1757
436,CTDT_charge.Tr2332,125
437,CTDT_secondarystruct.Tr1221,306
438,CTDT_secondarystruct.Tr1331,475
439,CTDT_secondarystruct.Tr2332,498
440,CTDT_solventaccess.Tr1221,212
441,CTDT_solventaccess.Tr1331,293
442,CTDT_solventaccess.Tr2332,717
443,CTriad_g1.g1.g1,3219
444,CTriad_g1.g1.g2,2391
445,CTriad_g1.g1.g3,897
446,CTriad_g1.g1.g4,3331
447,CTriad_g1.g1.g5,1776
448,CTriad_g1.g1.g6,1877
449,CTriad_g1.g1.g7,3605
450,CTriad_g1.g2.g1,1721
451,CTriad_g1.g2.g2,2411
452,CTriad_g1.g2.g3,2495
453,CTriad_g1.g2.g4,1978
454,CTriad_g1.g2.g5,2447
455,CTriad_g1.g2.g6,2531
456,CTriad_g1.g2.g7,2524
457,CTriad_g1.g3.g1,2514
458,CTriad_g1.g3.g2,1319
459,CTriad_g1.g3.g3,1884
460,CTriad_g1.g3.g4,1830
461,CTriad_g1.g3.g5,2162
462,CTriad_g1.g3.g6,3099
463,CTriad_g1.g3.g7,833
464,CTriad_g1.g4.g1,1365
465,CTriad_g1.g4.g2,1636
466,CTriad_g1.g4.g3,2528
467,CTriad_g1.g4.g4,3331
468,CTriad_g1.g4.g5,1600
469,CTriad_g1.g4.g6,2721
470,CTriad_g1.g4.g7,4091
471,CTriad_g1.g5.g1,2499
472,CTriad_g1.g5.g2,1328
473,CTriad_g1.g5.g3,2944
474,CTriad_g1.g5.g4,3605
475,CTriad_g1.g5.g5,2556
476,CTriad_g1.g5.g6,1817
477,CTriad_g1.g5.g7,4091
478,CTriad_g1.g6.g1,2972
479,CTriad_g1.g6.g2,1151
480,CTriad_g1.g6.g3,2823
481,CTriad_g1.g6.g4,3605
482,CTriad_g1.g6.g5,1982
483,CTriad_g1.g6.g6,2574
484,CTriad_g1.g6.g7,3605
485,CTriad_g1.g7.g1,3099
486,CTriad_g1.g7.g2,1556
487,CTriad_g1.g7.g3,3099
488,CTriad_g1.g7.g4,4091
489,CTriad_g1.g7.g5,3605
490,CTriad_g1.g7.g6,4091
491,CTriad_g1.g7.g7,4091
492,CTriad_g2.g1.g1,1389
493,CTriad_g2.g1.g2,2354
494,CTriad_g2.g1.g3,1993
